sample	coverage	taxonomy
Novel_genomes_placement_ani-R1	0.28	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales_H; f__Bacillaceae_D
Novel_genomes_placement_ani-R1	0.14	Root; d__Bacteria; p__Eremiobacterota; c__Eremiobacteria; o__Baltobacterales; f__Baltobacteraceae
Novel_genomes_placement_ani-R1	0.36	Root; d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__UBA4665
Novel_genomes_placement_ani-R1	2.12	Root; d__Bacteria; p__Patescibacteria; c__Gracilibacteria; o__Peribacterales; f__Peribacteraceae
Novel_genomes_placement_ani-R1	0.11	Root; d__Bacteria; p__Patescibacteria; c__JAEDAM01; o__Absconditabacterales; f__X112
Novel_genomes_placement_ani-R1	0.17	Root; d__Bacteria; p__Desulfobacterota_C; c__Anaeroferrophillalia; o__Anaeroferrophillales; f__JAADEO01
Novel_genomes_placement_ani-R1	0.06	Root; d__Bacteria; p__Firmicutes_B; c__Desulfitobacteriia; o__Desulfitobacteriales; f__Desulfitobacteriaceae
Novel_genomes_placement_ani-R1	0.17	Root; d__Bacteria; p__Firmicutes_B; c__Moorellia; o__DULZ01; f__DULZ01
Novel_genomes_placement_ani-R1	0.72	Root; d__Bacteria; p__Nitrospirota; c__Thermodesulfovibrionia; o__Thermodesulfovibrionales; f__Magnetobacteriaceae
Novel_genomes_placement_ani-R1	0.86	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__Herbiconiux
Novel_genomes_placement_ani-R1	3.13	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Micromonosporaceae; g__Actinoplanes
Novel_genomes_placement_ani-R1	0.05	Root; d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__Palsa-688; g__PALSA-693
Novel_genomes_placement_ani-R1	0.07	Root; d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__Palsa-688; g__WQVT01
Novel_genomes_placement_ani-R1	0.11	Root; d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__Palsa-688; g__JAFAWZ01
Novel_genomes_placement_ani-R1	0.08	Root; d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__Palsa-688; g__PALSA-688
Novel_genomes_placement_ani-R1	0.06	Root; d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__JAAYBP01; g__Aquihabitans
Novel_genomes_placement_ani-R1	0.8	Root; d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__JAAYBP01; g__JAAYBP01
Novel_genomes_placement_ani-R1	2.61	Root; d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Eggerthellaceae; g__CAG-1427
Novel_genomes_placement_ani-R1	0.16	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales; f__Desulfolunaceae; g__Desulfoluna
