name	mean	rank
FEN-1099	4952116.5	class
Fermentibacteria	2541849.15	class
Fibrobacteria	3299928.1139240507	class
Fimbriimonadia	3372225.631067961	class
Fusobacteriia	2311608.3601036267	class
FW602-bin22	4333383.111111111	class
Gammaproteobacteria	4856690.600107489	class
GBS-1	1750269.6	class
GCA-001730085	1907665	class
GCA-002687715	3852167.727272727	class
GCA-003054495	2659631.6	class
GCA-2686955	4278577	class
Gemmatimonadetes	3564764.74393531	class
Geothermincolia	2881623.0555555555	class
Glassbacteria	3984366	class
Gracilibacteria	1279605.1666666667	class
GWA2-38-11	2815663	class
GWC2-55-46	2243188.3571428573	class
GWE2-31-10	3755553.846153846	class
Hadarchaeia	1103641.6666666667	class
Halanaerobiia	2821589.7	class
Halobacteria	3583731.446397188	class
Heimdallarchaeia	3646984.3	class
Hermodarchaeia	2877106.3636363638	class
HKB111	1599006.75	class
Holophagae	3504535.975308642	class
HRBIN11	2988257	class
HRBIN16	3850861.285714286	class
HRBIN17	3143081.4285714286	class
Humimicrobiia	1859387.3043478262	class
Hydrogenedentia	4663872.590909091	class
Hydrothermarchaeia	1579643.2	class
Hydrothermia	1878845.6	class
Iainarchaeia	1142378.6923076923	class
Ignavibacteria	3721371.4444444445	class
J058	7593676.5	class
J088	2829385	class
J132	6325550.333333333	class
JAADFL01	4844595	class
JAANXI01	1935299	class
JAAXHH01	3774929.6428571427	class
JAAXVQ01	2713046	class
JAAYUW01	2195371.75	class
JABDJQ01	3728916	class
JABMQX01	4268008	class
JABWAT01	3984180.5	class
JACIXR01	2621700.5	class
JACOTG01	7351835.5	class
JACPDT01	4412390	class
JACPFL01	4009684.5	class
JACPHN01	9204407	class
JACPQY01	4716505	class
JACPQZ01	1648513	class
JACPSX01	2904462	class
JACPTQ01	5210217	class
JACPUC01	4458375	class
JACPWU01	2391547.25	class
JACQOV01	1897336	class
JACQVV01	7988807	class
JACQVX01	4081183	class
JACQYL01	5685540	class
JACRDZ01	3075986	class
JACRGO01	3744986	class
JACRHL01	2704227	class
JADFVX01	2307810.5	class
JADFXK01	4054746	class
JADJOY01	8187698	class
JAEDAM01	1211812.75	class
JAENJC01	1842456	class
JAFGBW01	3137840	class
JAFGKV01	4794814	class
JAFGND01	2991973	class
JAFGQW01	4891853	class
JAFGSJ01	5453321	class
JAFGSX01	5603776	class
JAGOBX01	3827240	class
JAGOEH01	3575955	class
JAHITG01	3155556	class
JAHJDO01	2677670	class
JAHJRX01	1747135.6666666667	class
JdFR-76	3282303.6	class
JdFR-97	4075498	class
Jordarchaeia	2610298	class
JS1	1775668.4761904762	class
Kapabacteria	3200603.1308411215	class
Kiritimatiellae	3363018.3773584906	class
Koll11	1746258.808888889	class
Korarchaeia	1680758.3076923077	class
Krumholzibacteria	3687962.826923077	class
Kryptonia	2500749.714285714	class
Ktedonobacteria	6713810.833333333	class
Latescibacteria	6093097	class
LC30	2888636	class
Lentisphaeria	4037685.466666667	class
Leptospirae	4380157.674816626	class
Leptospirillia	2407640	class
Limnochordia	2454305.0804597703	class
Limnocylindria	2693502.3385826773	class
Lokiarchaeia	4248600.015625	class
Magnetococcia	4124353.2181818183	class
Marinamargulisbacteria	1731885.75	class
Marinisomatia	2013717.0115384615	class
MBNT15	2397684.5454545454	class
Mcinerneyibacteria	1972470.3333333333	class
Methanobacteria	2058701.2974238875	class
Methanocellia	2820743	class
Methanococci	1618850.9464285714	class
Methanoliparia	1558356	class
Methanomethylicia	1401801.9736842106	class
Methanomicrobia	2324429.2763157897	class
Methanonatronarchaeia	1496903.3333333333	class
Methanopyri	1469285.4	class
Methanosarcinia	3012521.4378698226	class
Methylomirabilia	4184569.285714286	class
MHYJ01	4360146.538461538	class
Micrarchaeia	1126815.752688172	class
Microgenomatia	745800	class
Moduliflexia	6319981.25	class
Moorellia	2641627.3684210526	class
Mor1	3820636.4615384615	class
MSB-5A5	3203625.32	class
Muirbacteriia	2928565	class
MVCY01	2551105	class
MWCZ01	3968279	class
Myxococcia	8665881.805714285	class
Nanoarchaeia	1338720.862244898	class
Nanosalinia	945512	class
Natranaerobiia	2912391.5	class
Negativicutes	2326407.1384892086	class
Nitrososphaeria	1563708.6506410257	class
Nitrososphaeria_A	1467406.148148148	class
Nitrospinia	2919695.839285714	class
Nitrospiria	3259634.4536585365	class
NPL-UPA2	1540348.6666666667	class
O2-12-FULL-43-9	1868390.4285714286	class
Odinarchaeia	1405608.5	class
OLB16	4925316	class
Oligoflexia	4161655.75	class
Omnitrophia	2316782.2	class
OXYB2-FULL-49-7	5120126.5	class
Ozemobacteria	4862166.75	class
Paceibacteria	867401.0206896552	class
Palsa-1180	3511654.6666666665	class
Peptococcia	2539146.8139534886	class
PGYV01	2549675.777777778	class
Phycisphaerae	3567980.5054704593	class
PLA2	4818858	class
Planctomycetia	5956338.105448155	class
Polyangia	7481019.726829268	class
Poseidoniia	1720219.8048780488	class
Proteinivoracia	2093632.1	class
PUNC01	2804880	class
PUPC01	5812107.666666667	class
QMWL01	783987	class
QNDG01	3697295	class
QYQD01	2731612	class
RBG-13-43-22	5135697	class
RBG-13-61-14	3716491.6	class
RBG-13-66-14	2930735	class
RBG-16-64-22	2490968	class
RBG-16-71-46	3612706.6285714284	class
RBS10-35	2229908.5	class
Rhodothermia	3442374.167910448	class
Riflemargulisbacteria	2615125.375	class
RPQS01	3401445.727272727	class
Rubrobacteria	3388801.625	class
RUG730	1114104.5	class
S145-22	2803663	class
Saccharimonadia	757708.8181818182	class
SAR324	3616646.4210526315	class
SBBH01	2310702	class
SDB-A	2375371.5	class
Sericytochromatia	4620164.666666667	class
SHA-98	2494000	class
Sifarchaeia	3649704.4	class
SLGR01	2068558.1666666667	class
SLMV01	2319940.0833333335	class
SLNR01	2072794	class
SM23-61	4682384.333333333	class
Spirochaetia	2263196.2826274848	class
SpSt-1050	6293445	class
SpSt-1190	729164.5	class
SpSt-956	2247082	class
Sulfobacillia	3557555.8421052634	class
Sumerlaeia	3759571.294117647	class
SURF-26	3600408.5	class
SURF-5	5072042	class
SURF-8	5395726	class
